date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:42	137/137	---M--	200	added ('OK')	text/plain	etag:W/%2287277bc9d215e26ea59ad54a82c7f66e%22	http://gasparellyshow.weebly.com/robots.txt		(from )
16:39:42	37094/37094	---M-Z	200	added ('OK')	text/html	etag:W/%22504935008ee86f06e4bace5cd0f9da2c-gzip%22	http://gasparellyshow.weebly.com/	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/index.html	(from )
16:39:45	12634/12634	---M--	200	added ('OK')	image/png	etag:%22865cbc894-315a-54eaba305e540%22	http://gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/badge-1_1_orig.png	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/badge-1_1_orig.png	(from http://gasparellyshow.weebly.com/)
16:39:46	224276/224276	---M-Z	200	added ('OK')	text/css	etag:W/%2259bb17fd-36c14%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1493942303	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/css/sitesf167.css	(from http://gasparellyshow.weebly.com/)
16:39:47	13519/13519	---M--	200	added ('OK')	image/png	etag:%22868651874-34cf-54eaba305e540%22	http://gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/badge-1-copy_1_orig.png	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/badge-1-copy_1_orig.png	(from http://gasparellyshow.weebly.com/)
16:39:47	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%2259c1b014-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1493942303	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/css/old/fancybox5cdb.css	(from http://gasparellyshow.weebly.com/)
16:39:47	13081/13081	---M-Z	200	added ('OK')	text/css	etag:W/%2259c1b014-3319%22	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1493942303	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/css/social-icons9fb6.css	(from http://gasparellyshow.weebly.com/)
16:39:48	42462/42462	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Sep%202017%2019:39:44%20GMT	http://gasparellyshow.weebly.com/files/main_style.css?1494138685	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/files/main_styled9d0.css	(from http://gasparellyshow.weebly.com/)
16:39:48	526/526	---MC-	200	added ('OK')	text/css	date:Sat,%2030%20Sep%202017%2019:39:45%20GMT	http://fonts.googleapis.com/css?family=Montserrat:400,700&subset=latin,latin-ext	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/fonts.googleapis.com/css30e8.css	(from http://gasparellyshow.weebly.com/)
16:39:48	773/773	---MC-	200	added ('OK')	text/css	date:Sat,%2030%20Sep%202017%2019:39:45%20GMT	http://fonts.googleapis.com/css?family=Quicksand:400,300,700&subset=latin,latin-ext	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/fonts.googleapis.com/css0bad.css	(from http://gasparellyshow.weebly.com/)
16:39:49	1143/1143	---MC-	200	added ('OK')	text/css	date:Sat,%2030%20Sep%202017%2019:39:45%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:400,700,400italic,700italic&subset=latin,latin-ext	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/fonts.googleapis.com/css87e7.css	(from http://gasparellyshow.weebly.com/)
16:39:49	48852/48852	---M--	200	added ('OK')	image/jpeg	etag:%22868ef52e8-bed4-54eabbe1562c0%22	http://gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/12274624-560508187430083-4594639583113861498-n_orig.jpg	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/12274624-560508187430083-4594639583113861498-n_orig.jpg	(from http://gasparellyshow.weebly.com/)
16:39:49	38188/38188	---M--	200	added ('OK')	image/jpeg	etag:%228690f051b-952c-54eabbf18c900%22	http://gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/12573879-577103325770569-4406401591942366928-n_orig.jpg	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/uploads/1/0/5/3/105336261/12573879-577103325770569-4406401591942366928-n_orig.jpg	(from http://gasparellyshow.weebly.com/)
16:39:49	162/162	---M--	403	error ('Forbidden')	text/html	date:Sat,%2030%20Sep%202017%2019:39:46%20GMT	http://cdn1.editmysite.com/	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn1.editmysite.com/index.html	(from http://gasparellyshow.weebly.com/)
16:39:49	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://gasparellyshow.weebly.com/)
16:39:51	0/0	---M--	200	added ('OK')	text/html	etag:%2259c42e75-0%22	http://cdn2.editmysite.com/	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/index.html	(from http://gasparellyshow.weebly.com/)
16:39:51	117079/117079	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2259c42e75-1c957%22	http://cdn2.editmysite.com/js/lang/pt/stl.js?buildTime=1493942303&	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/js/lang/pt/stlc315.js	(from http://gasparellyshow.weebly.com/)
16:39:52	469963/469963	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2259cc1e85-72bcb%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1493942303	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/js/site/mainf167.js	(from http://gasparellyshow.weebly.com/)
16:39:54	28822/28822	---M-Z	200	added ('OK')	text/html	etag:W/%228e23a57855b51893df32c9a210be5af0-gzip%22	http://gasparellyshow.weebly.com/gallery.html	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/gallery.html	(from http://gasparellyshow.weebly.com/)
16:39:54	26808/26808	---M-Z	200	added ('OK')	text/html	etag:W/%22a2499448a7af32acedaf76ff9cc357d6-gzip%22	http://gasparellyshow.weebly.com/contact.html	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/contact.html	(from http://gasparellyshow.weebly.com/)
16:39:55	22391/22391	---M-Z	200	added ('OK')	text/html	etag:W/%221d5154305cbdbde61c6b93ee65386f49-gzip%22	http://gasparellyshow.weebly.com/videos.html	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/videos.html	(from http://gasparellyshow.weebly.com/)
16:39:55	1515/1515	---M--	404	error ('Not%20Found')	text/html	etag:%2259cec14f-5eb%22	http://gasparellyshow.weebly.com/%22/uploads/1/0/5/3/105336261/background-images/2128206391.jpg%22	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/_/uploads/1/0/5/3/105336261/background-images/2128206391.jpg_	(from http://gasparellyshow.weebly.com/)
16:39:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Sep%202017%2019:39:52%20GMT	http://www.youtube.com/embed/sUrT5qVQydw?wmode=opaque	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/www.youtube.com/embed/sUrT5qVQydw.12f747.delayed	(from http://gasparellyshow.weebly.com/)
16:39:56	1515/1515	---M--	404	error ('Not%20Found')	text/html	etag:%2259cec14f-5eb%22	http://gasparellyshow.weebly.com/%22/uploads/1/0/5/3/105336261/background-images/203560039.jpg%22	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/gasparellyshow.weebly.com/_/uploads/1/0/5/3/105336261/background-images/203560039.jpg_	(from http://gasparellyshow.weebly.com/)
16:39:56	28560/28560	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202017%2019:39:52%20GMT	https://www.youtube.com/embed/sUrT5qVQydw?wmode=opaque	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/www.youtube.com/embed/sUrT5qVQydwf747.html	(from http://gasparellyshow.weebly.com/)
16:39:57	390/390	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Sep%202017%2019:39:54%20GMT	https://widgetic.com/wbl/app/53f6253e09c7e204038b4567?wbl[wid]=d1981af4-9cb7-44d8-b26b-48f758e0799a&wbl[uid]=105336261&wbl[sid]=133399355564389340&prod&autoscale=	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/widgetic.com/wbl/app/53f6253e09c7e204038b4567.15bbba.delayed	(from http://gasparellyshow.weebly.com/)
16:39:57	6662/6662	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202017%2019:39:54%20GMT	https://widgetic.com/api/v2/widgets/53f6253e09c7e204038b4567/embed.html?bp=bottom-right&resize=fill&autoscale=off&lo=http%3A%2F%2Fgasparellyshow.weebly.com	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/widgetic.com/api/v2/widgets/53f6253e09c7e204038b4567/embed5ba2.html	(from http://gasparellyshow.weebly.com/)
16:39:58	2278/2278	---M-Z	200	added ('OK')	application/x-javascript	etag:%2259cec150-8e6%22	http://cdn2.editmysite.com/js/site/footerSignup.js?buildTime=1506722889	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/js/site/footerSignup2f5e.js	(from http://gasparellyshow.weebly.com/)
16:39:58	51728/51728	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ca10-3347598896%22	https://widgetic.com/wbl/js/sdk.js	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/widgetic.com/wbl/js/sdk.js	(from http://gasparellyshow.weebly.com/)
16:39:59	75006/75006	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2259c9965e-124fe%22	http://cdn2.editmysite.com/js/wsnbn/snowday262.js	C:/Users/cleilson/Documents/My%20Web%20Sites/weebly/cdn2.editmysite.com/js/wsnbn/snowday262.js	(from http://gasparellyshow.weebly.com/)
